year,cutoff_matches,beta_elo,team,position,probability
2023,5,0.0,アビスパ福岡,1,0.0043
2023,5,0.0,アビスパ福岡,2,0.0597
2023,5,0.0,アビスパ福岡,3,0.0808
2023,5,0.0,アビスパ福岡,4,0.0987
2023,5,0.0,アビスパ福岡,5,0.1098
2023,5,0.0,アビスパ福岡,6,0.1087
2023,5,0.0,アビスパ福岡,7,0.1151
2023,5,0.0,アビスパ福岡,8,0.1083
2023,5,0.0,アビスパ福岡,9,0.0906
2023,5,0.0,アビスパ福岡,10,0.0794
2023,5,0.0,アビスパ福岡,11,0.0623
2023,5,0.0,アビスパ福岡,12,0.0439
2023,5,0.0,アビスパ福岡,13,0.0242
2023,5,0.0,アビスパ福岡,14,0.0116
2023,5,0.0,アビスパ福岡,15,0.0023
2023,5,0.0,アビスパ福岡,16,0.0002
2023,5,0.0,アビスパ福岡,17,0.0001
2023,5,0.0,アビスパ福岡,18,0.0
2023,5,0.0,アルビレックス新潟,1,0.0149
2023,5,0.0,アルビレックス新潟,2,0.1315
2023,5,0.0,アルビレックス新潟,3,0.1309
2023,5,0.0,アルビレックス新潟,4,0.1204
2023,5,0.0,アルビレックス新潟,5,0.1217
2023,5,0.0,アルビレックス新潟,6,0.1085
2023,5,0.0,アルビレックス新潟,7,0.0947
2023,5,0.0,アルビレックス新潟,8,0.0801
2023,5,0.0,アルビレックス新潟,9,0.0676
2023,5,0.0,アルビレックス新潟,10,0.0475
2023,5,0.0,アルビレックス新潟,11,0.0374
2023,5,0.0,アルビレックス新潟,12,0.0253
2023,5,0.0,アルビレックス新潟,13,0.0128
2023,5,0.0,アルビレックス新潟,14,0.0049
2023,5,0.0,アルビレックス新潟,15,0.0018
2023,5,0.0,アルビレックス新潟,16,0.0
2023,5,0.0,アルビレックス新潟,17,0.0
2023,5,0.0,アルビレックス新潟,18,0.0
2023,5,0.0,ガンバ大阪,1,0.0
2023,5,0.0,ガンバ大阪,2,0.0
2023,5,0.0,ガンバ大阪,3,0.0
2023,5,0.0,ガンバ大阪,4,0.0
2023,5,0.0,ガンバ大阪,5,0.0
2023,5,0.0,ガンバ大阪,6,0.0
2023,5,0.0,ガンバ大阪,7,0.0001
2023,5,0.0,ガンバ大阪,8,0.0003
2023,5,0.0,ガンバ大阪,9,0.0005
2023,5,0.0,ガンバ大阪,10,0.0014
2023,5,0.0,ガンバ大阪,11,0.0034
2023,5,0.0,ガンバ大阪,12,0.0077
2023,5,0.0,ガンバ大阪,13,0.0187
2023,5,0.0,ガンバ大阪,14,0.0569
2023,5,0.0,ガンバ大阪,15,0.1755
2023,5,0.0,ガンバ大阪,16,0.2994
2023,5,0.0,ガンバ大阪,17,0.2558
2023,5,0.0,ガンバ大阪,18,0.1803
2023,5,0.0,サガン鳥栖,1,0.0
2023,5,0.0,サガン鳥栖,2,0.0
2023,5,0.0,サガン鳥栖,3,0.0
2023,5,0.0,サガン鳥栖,4,0.0002
2023,5,0.0,サガン鳥栖,5,0.0003
2023,5,0.0,サガン鳥栖,6,0.0001
2023,5,0.0,サガン鳥栖,7,0.0005
2023,5,0.0,サガン鳥栖,8,0.002
2023,5,0.0,サガン鳥栖,9,0.0041
2023,5,0.0,サガン鳥栖,10,0.006
2023,5,0.0,サガン鳥栖,11,0.0125
2023,5,0.0,サガン鳥栖,12,0.028
2023,5,0.0,サガン鳥栖,13,0.0599
2023,5,0.0,サガン鳥栖,14,0.1323
2023,5,0.0,サガン鳥栖,15,0.351
2023,5,0.0,サガン鳥栖,16,0.2261
