year,beta_elo,team,position,probability
2023,0.0,アビスパ福岡,1,0.0
2023,0.0,アビスパ福岡,2,0.0
2023,0.0,アビスパ福岡,3,0.0
2023,0.0,アビスパ福岡,4,0.0002
2023,0.0,アビスパ福岡,5,0.0001
2023,0.0,アビスパ福岡,6,0.001
2023,0.0,アビスパ福岡,7,0.0034
2023,0.0,アビスパ福岡,8,0.0096
2023,0.0,アビスパ福岡,9,0.0297
2023,0.0,アビスパ福岡,10,0.0803
2023,0.0,アビスパ福岡,11,0.1717
2023,0.0,アビスパ福岡,12,0.2188
2023,0.0,アビスパ福岡,13,0.1919
2023,0.0,アビスパ福岡,14,0.1318
2023,0.0,アビスパ福岡,15,0.0879
2023,0.0,アビスパ福岡,16,0.0498
2023,0.0,アビスパ福岡,17,0.0196
2023,0.0,アビスパ福岡,18,0.0042
2023,0.0,アルビレックス新潟,1,0.0
2023,0.0,アルビレックス新潟,2,0.0
2023,0.0,アルビレックス新潟,3,0.0
2023,0.0,アルビレックス新潟,4,0.0
2023,0.0,アルビレックス新潟,5,0.0002
2023,0.0,アルビレックス新潟,6,0.0009
2023,0.0,アルビレックス新潟,7,0.0021
2023,0.0,アルビレックス新潟,8,0.0076
2023,0.0,アルビレックス新潟,9,0.02
2023,0.0,アルビレックス新潟,10,0.0642
2023,0.0,アルビレックス新潟,11,0.1396
2023,0.0,アルビレックス新潟,12,0.1812
2023,0.0,アルビレックス新潟,13,0.1961
2023,0.0,アルビレックス新潟,14,0.1615
2023,0.0,アルビレックス新潟,15,0.1156
2023,0.0,アルビレックス新潟,16,0.0698
2023,0.0,アルビレックス新潟,17,0.0327
2023,0.0,アルビレックス新潟,18,0.0085
2023,0.0,ガンバ大阪,1,0.0
2023,0.0,ガンバ大阪,2,0.0
2023,0.0,ガンバ大阪,3,0.0
2023,0.0,ガンバ大阪,4,0.0
2023,0.0,ガンバ大阪,5,0.0
2023,0.0,ガンバ大阪,6,0.0
2023,0.0,ガンバ大阪,7,0.0002
2023,0.0,ガンバ大阪,8,0.0002
2023,0.0,ガンバ大阪,9,0.0019
2023,0.0,ガンバ大阪,10,0.0092
2023,0.0,ガンバ大阪,11,0.0279
2023,0.0,ガンバ大阪,12,0.0616
2023,0.0,ガンバ大阪,13,0.1105
2023,0.0,ガンバ大阪,14,0.1629
2023,0.0,ガンバ大阪,15,0.2
2023,0.0,ガンバ大阪,16,0.2071
2023,0.0,ガンバ大阪,17,0.1486
2023,0.0,ガンバ大阪,18,0.0699
2023,0.0,サガン鳥栖,1,0.0
2023,0.0,サガン鳥栖,2,0.0001
2023,0.0,サガン鳥栖,3,0.0004
2023,0.0,サガン鳥栖,4,0.0049
2023,0.0,サガン鳥栖,5,0.012
2023,0.0,サガン鳥栖,6,0.0277
2023,0.0,サガン鳥栖,7,0.0475
2023,0.0,サガン鳥栖,8,0.1012
2023,0.0,サガン鳥栖,9,0.1649
2023,0.0,サガン鳥栖,10,0.2853
2023,0.0,サガン鳥栖,11,0.1754
2023,0.0,サガン鳥栖,12,0.099
2023,0.0,サガン鳥栖,13,0.0492
2023,0.0,サガン鳥栖,14,0.0211
2023,0.0,サガン鳥栖,15,0.0078
2023,0.0,サガン鳥栖,16,0.0029
2023,0.0,サガン鳥栖,17,0.0005
2023,0.0,サガン鳥栖,18,0.0001
2023,0.0,サンフレッチェ広島,1,0.0087
2023,0.0,サンフレッチェ広島,2,0.0334
2023,0.0,サンフレッチェ広島,3,0.0947
2023,0.0,サンフレッチェ広島,4,0.1627
2023,0.0,サンフレッチェ広島,5,0.2007
2023,0.0,サンフレッチェ広島,6,0.1745
2023,0.0,サンフレッチェ広島,7,0.1433
2023,0.0,サンフレッチェ広島,8,0.0965
2023,0.0,サンフレッチェ広島,9,0.0559
2023,0.0,サンフレッチェ広島,10,0.0235
2023,0.0,サンフレッチェ広島,11,0.0044
2023,0.0,サンフレッチェ広島,12,0.0016
2023,0.0,サンフレッチェ広島,13,0.0001
2023,0.0,サンフレッチェ広島,14,0.0
2023,0.0,サンフレッチェ広島,15,0.0
2023,0.0,サンフレッチェ広島,16,0.0
2023,0.0,サンフレッチェ広島,17,0.0
2023,0.0,サンフレッチェ広島,18,0.0
2023,0.0,セレッソ大阪,1,0.002
2023,0.0,セレッソ大阪,2,0.0126
2023,0.0,セレッソ大阪,3,0.0511
2023,0.0,セレッソ大阪,4,0.1024
2023,0.0,セレッソ大阪,5,0.1454
2023,0.0,セレッソ大阪,6,0.1794
2023,0.0,セレッソ大阪,7,0.1761
2023,0.0,セレッソ大阪,8,0.1586
2023,0.0,セレッソ大阪,9,0.1078
2023,0.0,セレッソ大阪,10,0.0456
2023,0.0,セレッソ大阪,11,0.0142
2023,0.0,セレッソ大阪,12,0.0032
2023,0.0,セレッソ大阪,13,0.0013
2023,0.0,セレッソ大阪,14,0.0002
2023,0.0,セレッソ大阪,15,0.0001
2023,0.0,セレッソ大阪,16,0.0
2023,0.0,セレッソ大阪,17,0.0
2023,0.0,セレッソ大阪,18,0.0
2023,0.0,ヴィッセル神戸,1,0.2851
2023,0.0,ヴィッセル神戸,2,0.3688
2023,0.0,ヴィッセル神戸,3,0.1954
2023,0.0,ヴィッセル神戸,4,0.0864
2023,0.0,ヴィッセル神戸,5,0.0356
2023,0.0,ヴィッセル神戸,6,0.0185
2023,0.0,ヴィッセル神戸,7,0.0069
2023,0.0,ヴィッセル神戸,8,0.0028
2023,0.0,ヴィッセル神戸,9,0.0005
2023,0.0,ヴィッセル神戸,10,0.0
2023,0.0,ヴィッセル神戸,11,0.0
2023,0.0,ヴィッセル神戸,12,0.0
2023,0.0,ヴィッセル神戸,13,0.0
2023,0.0,ヴィッセル神戸,14,0.0
2023,0.0,ヴィッセル神戸,15,0.0
2023,0.0,ヴィッセル神戸,16,0.0
2023,0.0,ヴィッセル神戸,17,0.0
2023,0.0,ヴィッセル神戸,18,0.0
2023,0.0,京都サンガF.C.,1,0.0
2023,0.0,京都サンガF.C.,2,0.0
2023,0.0,京都サンガF.C.,3,0.0
2023,0.0,京都サンガF.C.,4,0.0
2023,0.0,京都サンガF.C.,5,0.0
2023,0.0,京都サンガF.C.,6,0.0001
2023,0.0,京都サンガF.C.,7,0.0001
2023,0.0,京都サンガF.C.,8,0.0015
2023,0.0,京都サンガF.C.,9,0.0035
2023,0.0,京都サンガF.C.,10,0.0133
2023,0.0,京都サンガF.C.,11,0.0391
2023,0.0,京都サンガF.C.,12,0.0775
2023,0.0,京都サンガF.C.,13,0.1173
2023,0.0,京都サンガF.C.,14,0.1697
2023,0.0,京都サンガF.C.,15,0.1989
2023,0.0,京都サンガF.C.,16,0.183
2023,0.0,京都サンガF.C.,17,0.1319
2023,0.0,京都サンガF.C.,18,0.0641
2023,0.0,北海道コンサドーレ札幌,1,0.0003
2023,0.0,北海道コンサドーレ札幌,2,0.0025
2023,0.0,北海道コンサドーレ札幌,3,0.0133
2023,0.0,北海道コンサドーレ札幌,4,0.035
2023,0.0,北海道コンサドーレ札幌,5,0.0675
2023,0.0,北海道コンサドーレ札幌,6,0.1082
2023,0.0,北海道コンサドーレ札幌,7,0.1521
2023,0.0,北海道コンサドーレ札幌,8,0.1902
2023,0.0,北海道コンサドーレ札幌,9,0.2121
2023,0.0,北海道コンサドーレ札幌,10,0.1294
2023,0.0,北海道コンサドーレ札幌,11,0.0552
2023,0.0,北海道コンサドーレ札幌,12,0.0233
2023,0.0,北海道コンサドーレ札幌,13,0.0076
2023,0.0,北海道コンサドーレ札幌,14,0.0022
2023,0.0,北海道コンサドーレ札幌,15,0.0006
2023,0.0,北海道コンサドーレ札幌,16,0.0004
2023,0.0,北海道コンサドーレ札幌,17,0.0001
