target_year,previous_year,prev_weight,prev_decay,elo_lambda_weight,compat_weight,current_decay,shrinkage,draw_factor,max_match_draw_prob_label,max_match_draw_prob,lambda_cap_label,lambda_cap,promoted_prior_name,promoted_prev_weight,promoted_attack_prior,promoted_defense_prior,pressure_setting,use_pressure,pressure_window_games,title_boost,title_points_window,title_rank_cutoff,relegation_draw_shift,relegation_points_window,relegation_rank_buffer,min_underdog_lambda_diff,underdog_lambda_diff_scale,max_draw_shift,matchup_prior_n,matchup_time_decay,compat_factor_min,compat_factor_max,goal_adjust_name,goal_adjust_mode,goal_cap_for_strength,n_sim,n_teams,n_previous_matches,n_target_matches,n_train_matches,n_test_matches,mae,mean_prob_actual_position,sim_draw_rate,promoted_team_count,promoted_mean_error,title_contender_mean_error,relegation_zone_mean_error,京都_actual_position,京都_avg_pred_position,京都_error,柏_actual_position,柏_avg_pred_position,柏_error,川崎F_actual_position,川崎F_avg_pred_position,川崎F_error,神戸_actual_position,神戸_avg_pred_position,神戸_error,横浜FM_actual_position,横浜FM_avg_pred_position,横浜FM_error,名古屋_actual_position,名古屋_avg_pred_position,名古屋_error,G大阪_actual_position,G大阪_avg_pred_position,G大阪_error,浦和_actual_position,浦和_avg_pred_position,浦和_error,prev_setting_name,町田_actual_position,町田_avg_pred_position,町田_error,清水_actual_position,清水_avg_pred_position,清水_error
2023,2022,0.2,0.995,0.2,0.2,1.0,1.0,1.2,cap033,0.33,cap3.5,3.5,none,0.0,1.0,1.0,pressure_off,False,8,0.0,8.0,5,0.0,6.0,3,0.1,0.75,0.0,30,0.97,0.95,1.05,cap4,cap,4,3000,18,306,306,153,153,2.0372962962962955,0.17274074074074075,0.2763333333333333,2,2.3035000000000005,1.4726666666666663,1.114222222222222,13,14.655666666666667,1.6556666666666668,17,16.131,0.8689999999999998,8,7.769000000000001,0.23099999999999898,1,2.537333333333333,1.5373333333333332,2,1.5693333333333332,0.43066666666666675,6,3.505666666666667,2.494333333333333,16,13.934666666666669,2.0653333333333315,4,4.353666666666666,0.35366666666666635,prev020_decay0995,,,,,,
2024,2023,0.2,0.995,0.2,0.2,1.0,1.0,1.2,cap033,0.33,cap3.5,3.5,none,0.0,1.0,1.0,pressure_off,False,8,0.0,8.0,5,0.0,6.0,3,0.1,0.75,0.0,30,0.97,0.95,1.05,cap4,cap,4,3000,20,306,380,190,190,2.589,0.09755,0.28519298245614033,3,4.182888888888889,2.1849999999999996,2.9831111111111106,14,18.668,4.667999999999999,17,15.326666666666668,1.673333333333332,8,12.409666666666668,4.409666666666668,1,3.7573333333333325,2.7573333333333325,9,7.900666666666666,1.099333333333334,11,9.419999999999998,1.5800000000000018,4,4.760333333333333,0.7603333333333326,13,9.244333333333334,3.7556666666666665,prev020_decay0995,3.0,1.5583333333333336,1.4416666666666664,,,
2025,2024,0.2,0.995,0.2,0.2,1.0,1.0,1.2,cap033,0.33,cap3.5,3.5,none,0.0,1.0,1.0,pressure_off,False,8,0.0,8.0,5,0.0,6.0,3,0.1,0.75,0.0,30,0.97,0.95,1.05,cap4,cap,4,3000,20,380,380,190,190,2.2545333333333337,0.14628333333333338,0.31047719298245613,3,1.5845555555555553,1.7702222222222217,1.8067777777777785,3,4.624666666666666,1.6246666666666663,2,5.400666666666666,3.400666666666666,8,4.686999999999999,3.3130000000000006,5,5.366666666666667,0.36666666666666714,15,18.240333333333332,3.240333333333332,16,11.601,4.398999999999999,9,11.565000000000001,2.5650000000000013,7,6.061333333333333,0.9386666666666672,prev020_decay0995,6.0,10.033000000000003,4.033000000000003,14.0,10.057000000000002,3.942999999999998
2023,2022,0.2,0.995,0.2,0.2,1.0,1.0,1.2,cap033,0.33,cap3.5,3.5,none,0.0,1.0,1.0,title_weak,True,8,0.03,8.0,5,0.0,6.0,3,0.1,0.75,0.0,30,0.97,0.95,1.05,cap4,cap,4,3000,18,306,306,153,153,2.0328888888888885,0.17127777777777775,0.2760653594771242,2,2.264166666666666,1.4340000000000002,1.1175555555555554,13,14.715999999999998,1.7159999999999975,17,16.154333333333334,0.8456666666666663,8,7.839333333333333,0.16066666666666674,1,2.5120000000000005,1.5120000000000005,2,1.575,0.42500000000000004,6,3.490666666666667,2.509333333333333,16,13.902666666666667,2.0973333333333333,4,4.407,0.40700000000000003,prev020_decay0995,,,,,,
2024,2023,0.2,0.995,0.2,0.2,1.0,1.0,1.2,cap033,0.33,cap3.5,3.5,none,0.0,1.0,1.0,title_weak,True,8,0.03,8.0,5,0.0,6.0,3,0.1,0.75,0.0,30,0.97,0.95,1.05,cap4,cap,4,3000,20,306,380,190,190,2.5844666666666667,0.09608333333333333,0.2852368421052632,3,4.148,2.154,2.970444444444443,14,18.720666666666666,4.720666666666666,17,15.31,1.6899999999999995,8,12.472000000000001,4.472000000000001,1,3.727666666666667,2.727666666666667,9,7.819,1.181,11,9.494666666666667,1.5053333333333327,4,4.642666666666668,0.6426666666666678,13,9.208,3.792,prev020_decay0995,3.0,1.5930000000000002,1.4069999999999998,,,
2025,2024,0.2,0.995,0.2,0.2,1.0,1.0,1.2,cap033,0.33,cap3.5,3.5,none,0.0,1.0,1.0,title_weak,True,8,0.03,8.0,5,0.0,6.0,3,0.1,0.75,0.0,30,0.97,0.95,1.05,cap4,cap,4,3000,20,380,380,190,190,2.2434333333333334,0.15046666666666667,0.30969122807017546,3,1.5928888888888888,1.803,1.8096666666666668,3,4.653666666666666,1.6536666666666662,2,5.447333333333334,3.447333333333334,8,4.683,3.317,5,5.338666666666666,0.3386666666666658,15,18.18466666666667,3.1846666666666685,16,11.632000000000001,4.3679999999999986,9,11.515999999999998,2.5159999999999982,7,6.190333333333332,0.8096666666666676,prev020_decay0995,6.0,10.046999999999999,4.046999999999999,14.0,9.969666666666665,4.030333333333335
2023,2022,0.2,0.995,0.2,0.2,1.0,1.0,1.2,cap033,0.33,cap3.5,3.5,none,0.0,1.0,1.0,title_mid,True,8,0.05,8.0,5,0.0,6.0,3,0.1,0.75,0.0,30,0.97,0.95,1.05,cap4,cap,4,3000,18,306,306,153,153,2.0172962962962964,0.1701111111111111,0.27639433551198256,2,2.2523333333333353,1.482444444444444,1.105000000000001,13,14.629666666666665,1.6296666666666653,17,16.127333333333333,0.8726666666666674,8,7.791666666666668,0.20833333333333215,1,2.5746666666666664,1.5746666666666664,2,1.5326666666666666,0.4673333333333334,6,3.5773333333333333,2.4226666666666667,16,13.954333333333333,2.0456666666666674,4,4.296999999999999,0.2969999999999988,prev020_decay0995,,,,,,
2024,2023,0.2,0.995,0.2,0.2,1.0,1.0,1.2,cap033,0.33,cap3.5,3.5,none,0.0,1.0,1.0,title_mid,True,8,0.05,8.0,5,0.0,6.0,3,0.1,0.75,0.0,30,0.97,0.95,1.05,cap4,cap,4,3000,20,306,380,190,190,2.583033333333334,0.09605000000000001,0.28476666666666667,3,4.137444444444445,2.1793333333333327,2.958111111111112,14,18.694,4.693999999999999,17,15.370666666666667,1.6293333333333333,8,12.40166666666667,4.401666666666671,1,3.722333333333333,2.722333333333333,9,7.965000000000001,1.0349999999999993,11,9.408999999999999,1.591000000000001,4,4.682333333333333,0.6823333333333332,13,9.202333333333334,3.7976666666666663,prev020_decay0995,3.0,1.5903333333333332,1.4096666666666668,,,
2025,2024,0.2,0.995,0.2,0.2,1.0,1.0,1.2,cap033,0.33,cap3.5,3.5,none,0.0,1.0,1.0,title_mid,True,8,0.05,8.0,5,0.0,6.0,3,0.1,0.75,0.0,30,0.97,0.95,1.05,cap4,cap,4,3000,20,380,380,190,190,2.2732666666666668,0.1514,0.30990701754385963,3,1.6628888888888873,1.8061111111111112,1.8412222222222205,3,4.682666666666667,1.682666666666667,2,5.442,3.442,8,4.639333333333332,3.360666666666668,5,5.342666666666666,0.34266666666666623,15,18.124333333333333,3.1243333333333325,16,11.657666666666666,4.342333333333334,9,11.522333333333332,2.522333333333332,7,6.102333333333332,0.8976666666666677,prev020_decay0995,6.0,10.145666666666665,4.145666666666665,14.0,9.890666666666666,4.109333333333334
2023,2022,0.2,0.995,0.2,0.2,1.0,1.0,1.2,cap033,0.33,cap3.5,3.5,none,0.0,1.0,1.0,relegation_draw_weak,True,8,0.0,8.0,5,0.05,6.0,3,0.1,0.75,0.07,30,0.97,0.95,1.05,cap4,cap,4,3000,18,306,306,153,153,2.027148148148149,0.17192592592592593,0.2773355119825708,2,2.2575000000000003,1.4530000000000003,1.1160000000000003,13,14.677,1.6769999999999996,17,16.170666666666666,0.8293333333333344,8,7.765333333333332,0.23466666666666836,1,2.5160000000000005,1.5160000000000005,2,1.5663333333333334,0.43366666666666664,6,3.5180000000000007,2.4819999999999993,16,13.884333333333332,2.1156666666666677,4,4.355000000000001,0.3550000000000013,prev020_decay0995,,,,,,
2024,2023,0.2,0.995,0.2,0.2,1.0,1.0,1.2,cap033,0.33,cap3.5,3.5,none,0.0,1.0,1.0,relegation_draw_weak,True,8,0.0,8.0,5,0.05,6.0,3,0.1,0.75,0.07,30,0.97,0.95,1.05,cap4,cap,4,3000,20,306,380,190,190,2.570833333333333,0.09395,0.28592456140350875,3,4.163111111111111,2.1844444444444444,2.9583333333333335,14,18.665666666666667,4.665666666666667,17,15.297666666666665,1.7023333333333355,8,12.344999999999999,4.344999999999999,1,3.739666666666667,2.739666666666667,9,8.053666666666667,0.9463333333333335,11,9.46366666666667,1.5363333333333298,4,4.7029999999999985,0.7029999999999985,13,9.249333333333334,3.7506666666666657,prev020_decay0995,3.0,1.5839999999999999,1.4160000000000001,,,
2025,2024,0.2,0.995,0.2,0.2,1.0,1.0,1.2,cap033,0.33,cap3.5,3.5,none,0.0,1.0,1.0,relegation_draw_weak,True,8,0.0,8.0,5,0.05,6.0,3,0.1,0.75,0.07,30,0.97,0.95,1.05,cap4,cap,4,3000,20,380,380,190,190,2.2641333333333327,0.14871666666666666,0.31069298245614035,3,1.6306666666666654,1.8135555555555551,1.8056666666666665,3,4.668666666666667,1.6686666666666667,2,5.465333333333332,3.465333333333332,8,4.738666666666666,3.261333333333334,5,5.282000000000001,0.2820000000000009,15,18.14966666666667,3.1496666666666684,16,11.591999999999999,4.408000000000001,9,11.589666666666664,2.5896666666666643,7,6.042666666666667,0.9573333333333327,prev020_decay0995,6.0,10.163,4.163,14.0,9.88666666666667,4.11333333333333
2023,2022,0.2,0.995,0.2,0.2,1.0,1.0,1.2,cap033,0.33,cap3.5,3.5,none,0.0,1.0,1.0,title_weak_relegation_draw_weak,True,8,0.03,8.0,5,0.05,6.0,3,0.1,0.75,0.07,30,0.97,0.95,1.05,cap4,cap,4,3000,18,306,306,153,153,2.045851851851852,0.17112962962962963,0.2772440087145969,2,2.250333333333333,1.471444444444444,1.1111111111111107,13,14.686666666666666,1.6866666666666656,17,16.131333333333334,0.868666666666666,8,7.771666666666667,0.2283333333333326,1,2.5029999999999997,1.5029999999999997,2,1.5420000000000003,0.45799999999999974,6,3.4883333333333337,2.5116666666666663,16,13.935333333333332,2.0646666666666675,4,4.438666666666668,0.4386666666666681,prev020_decay0995,,,,,,
2024,2023,0.2,0.995,0.2,0.2,1.0,1.0,1.2,cap033,0.33,cap3.5,3.5,none,0.0,1.0,1.0,title_weak_relegation_draw_weak,True,8,0.03,8.0,5,0.05,6.0,3,0.1,0.75,0.07,30,0.97,0.95,1.05,cap4,cap,4,3000,20,306,380,190,190,2.5872666666666664,0.09905,0.2854543859649123,3,4.1834444444444445,2.158222222222222,2.9881111111111096,14,18.727999999999998,4.727999999999998,17,15.29733333333333,1.7026666666666692,8,12.299333333333333,4.299333333333333,1,3.7279999999999998,2.7279999999999998,9,7.854000000000001,1.145999999999999,11,9.393,1.6069999999999993,4,4.7700000000000005,0.7700000000000005,13,9.226666666666667,3.7733333333333334,prev020_decay0995,3.0,1.594,1.406,,,
