year,team,division,rating_start,first_seen_year,is_new_team
1993,ガンバ大阪,J1,1500.0,1993,True
1993,サンフレッチェ広島,J1,1500.0,1993,True
1993,ジェフユナイテッド千葉,J1,1500.0,1993,True
1993,名古屋グランパス,J1,1500.0,1993,True
1993,東京ヴェルディ,J1,1500.0,1993,True
1993,横浜フリューゲルス,J1,1500.0,1993,True
1993,横浜Ｆ・マリノス,J1,1500.0,1993,True
1993,浦和レッズ,J1,1500.0,1993,True
1993,清水エスパルス,J1,1500.0,1993,True
1993,鹿島アントラーズ,J1,1500.0,1993,True
1994,東京ヴェルディ,J1,1657.019,1993,False
1994,清水エスパルス,J1,1586.463,1993,False
1994,鹿島アントラーズ,J1,1567.911,1993,False
1994,横浜Ｆ・マリノス,J1,1541.237,1993,False
1994,サンフレッチェ広島,J1,1513.951,1993,False
1994,ジュビロ磐田,J1,1500.0,1994,True
1994,湘南ベルマーレ,J1,1500.0,1994,True
1994,横浜フリューゲルス,J1,1466.024,1993,False
1994,ガンバ大阪,J1,1455.625,1993,False
1994,名古屋グランパス,J1,1442.356,1993,False
1994,ジェフユナイテッド千葉,J1,1403.295,1993,False
1994,浦和レッズ,J1,1366.118,1993,False
1995,東京ヴェルディ,J1,1651.065,1993,False
1995,鹿島アントラーズ,J1,1568.123,1993,False
1995,横浜Ｆ・マリノス,J1,1548.823,1993,False
1995,湘南ベルマーレ,J1,1548.061,1994,False
1995,清水エスパルス,J1,1543.126,1993,False
1995,サンフレッチェ広島,J1,1516.646,1993,False
1995,セレッソ大阪,J1,1500.0,1995,True
1995,柏レイソル,J1,1500.0,1995,True
1995,ジュビロ磐田,J1,1479.102,1994,False
1995,横浜フリューゲルス,J1,1469.269,1993,False
1995,ガンバ大阪,J1,1455.559,1993,False
1995,ジェフユナイテッド千葉,J1,1436.696,1993,False
1995,名古屋グランパス,J1,1394.75,1993,False
1995,浦和レッズ,J1,1388.777,1993,False
1996,東京ヴェルディ,J1,1632.852,1993,False
1996,名古屋グランパス,J1,1549.128,1993,False
1996,ジュビロ磐田,J1,1530.486,1994,False
1996,浦和レッズ,J1,1524.498,1993,False
1996,ジェフユナイテッド千葉,J1,1515.274,1993,False
1996,横浜Ｆ・マリノス,J1,1513.462,1993,False
1996,柏レイソル,J1,1503.11,1995,False
1996,アビスパ福岡,J1,1500.0,1996,True
1996,京都サンガF.C.,J1,1500.0,1996,True
1996,鹿島アントラーズ,J1,1496.148,1993,False
1996,清水エスパルス,J1,1483.992,1993,False
1996,セレッソ大阪,J1,1480.545,1995,False
1996,サンフレッチェ広島,J1,1449.406,1993,False
1996,ガンバ大阪,J1,1448.149,1993,False
1996,横浜フリューゲルス,J1,1441.093,1993,False
1996,湘南ベルマーレ,J1,1431.858,1994,False
1997,東京ヴェルディ,J1,1626.913,1993,False
1997,名古屋グランパス,J1,1591.445,1993,False
1997,鹿島アントラーズ,J1,1587.295,1993,False
1997,ジュビロ磐田,J1,1575.051,1994,False
1997,浦和レッズ,J1,1560.233,1993,False
1997,柏レイソル,J1,1546.532,1995,False
1997,横浜フリューゲルス,J1,1533.202,1993,False
1997,ヴィッセル神戸,J1,1500.0,1997,True
1997,横浜Ｆ・マリノス,J1,1496.9,1993,False
1997,ジェフユナイテッド千葉,J1,1486.327,1993,False
1997,湘南ベルマーレ,J1,1460.437,1994,False
1997,清水エスパルス,J1,1447.978,1993,False
1997,セレッソ大阪,J1,1444.089,1995,False
1997,京都サンガF.C.,J1,1431.976,1996,False
1997,アビスパ福岡,J1,1416.455,1996,False
1997,ガンバ大阪,J1,1405.85,1993,False
1997,サンフレッチェ広島,J1,1389.317,1993,False
1998,ジュビロ磐田,J1,1652.968,1994,False
1998,鹿島アントラーズ,J1,1624.66,1993,False
1998,横浜Ｆ・マリノス,J1,1575.001,1993,False
1998,ガンバ大阪,J1,1555.503,1993,False
1998,柏レイソル,J1,1552.95,1995,False
1998,清水エスパルス,J1,1549.932,1993,False
1998,浦和レッズ,J1,1533.424,1993,False
1998,横浜フリューゲルス,J1,1532.117,1993,False
1998,名古屋グランパス,J1,1529.953,1993,False
1998,湘南ベルマーレ,J1,1502.688,1994,False
1998,北海道コンサドーレ札幌,J1,1500.0,1998,True
1998,セレッソ大阪,J1,1485.166,1995,False
1998,東京ヴェルディ,J1,1452.364,1993,False
1998,ジェフユナイテッド千葉,J1,1422.888,1993,False
1998,サンフレッチェ広島,J1,1414.718,1993,False
1998,京都サンガF.C.,J1,1379.275,1996,False
1998,ヴィッセル神戸,J1,1378.676,1997,False
1998,アビスパ福岡,J1,1357.717,1996,False
1999,ジュビロ磐田,J1,1686.479,1994,False
1999,鹿島アントラーズ,J1,1662.712,1993,False
1999,清水エスパルス,J1,1609.651,1993,False
1999,横浜Ｆ・マリノス,J1,1605.617,1993,False
1999,名古屋グランパス,J1,1589.931,1993,False
1999,浦和レッズ,J1,1583.063,1993,False
1999,柏レイソル,J1,1504.638,1995,False
1999,サンフレッチェ広島,J1,1478.979,1993,False
1999,湘南ベルマーレ,J1,1473.022,1994,False
1999,ガンバ大阪,J1,1449.639,1993,False
1999,京都サンガF.C.,J1,1442.135,1996,False
1999,セレッソ大阪,J1,1437.774,1995,False
1999,東京ヴェルディ,J1,1419.928,1993,False
1999,ヴィッセル神戸,J1,1366.583,1997,False
